// DAG automatically generated by daggen at Sat Dec  8 02:18:34 2018
// ./daggen -n 50 -o dag.txt 
NODE_COUNT 138
NODE 0 1,2,3,4,5,6 ROOT 0.0 0.0
NODE 1 7 COMPUTATION 1073741824000 0.17
NODE 7 23 TRANSFER 838860800 0.0
NODE 2 8 COMPUTATION 368293445632 0.00
NODE 8 22 TRANSFER 411041792 0.0
NODE 3 9 COMPUTATION 17773853488 0.07
NODE 9 20 TRANSFER 33554432 0.0
NODE 4 10,11 COMPUTATION 239223885107 0.05
NODE 10 19 TRANSFER 301989888 0.0
NODE 11 22 TRANSFER 301989888 0.0
NODE 5 12,13,14,15 COMPUTATION 7573683147 0.08
NODE 12 20 TRANSFER 411041792 0.0
NODE 13 22 TRANSFER 411041792 0.0
NODE 14 24 TRANSFER 411041792 0.0
NODE 15 25 TRANSFER 411041792 0.0
NODE 6 16,17,18 COMPUTATION 168632882254 0.15
NODE 16 19 TRANSFER 209715200 0.0
NODE 17 20 TRANSFER 209715200 0.0
NODE 18 21 TRANSFER 209715200 0.0
NODE 19 26 COMPUTATION 1073741824000 0.02
NODE 26 47 TRANSFER 838860800 0.0
NODE 20 27 COMPUTATION 63864047597 0.16
NODE 27 41 TRANSFER 209715200 0.0
NODE 21 28,29 COMPUTATION 19020537137 0.10
NODE 28 42 TRANSFER 411041792 0.0
NODE 29 44 TRANSFER 411041792 0.0
NODE 22 30,31,32,33 COMPUTATION 8589934592 0.16
NODE 30 42 TRANSFER 33554432 0.0
NODE 31 43 TRANSFER 33554432 0.0
NODE 32 45 TRANSFER 33554432 0.0
NODE 33 47 TRANSFER 33554432 0.0
NODE 23 34,35 COMPUTATION 41839805936 0.12
NODE 34 45 TRANSFER 33554432 0.0
NODE 35 47 TRANSFER 33554432 0.0
NODE 24 36,37,38 COMPUTATION 231928233984 0.01
NODE 36 41 TRANSFER 301989888 0.0
NODE 37 43 TRANSFER 301989888 0.0
NODE 38 46 TRANSFER 301989888 0.0
NODE 25 39,40 COMPUTATION 80032623324 0.13
NODE 39 42 TRANSFER 134217728 0.0
NODE 40 43 TRANSFER 134217728 0.0
NODE 41 48,49 COMPUTATION 563135566965 0.07
NODE 48 60 TRANSFER 411041792 0.0
NODE 49 63 TRANSFER 411041792 0.0
NODE 42 50,51,52 COMPUTATION 7230813959 0.11
NODE 50 59 TRANSFER 838860800 0.0
NODE 51 60 TRANSFER 838860800 0.0
NODE 52 61 TRANSFER 838860800 0.0
NODE 43 53 COMPUTATION 549755813888 0.11
NODE 53 61 TRANSFER 536870912 0.0
NODE 44 137 COMPUTATION 1073741824000 0.02
NODE 45 54,55,56 COMPUTATION 68719476736 0.19
NODE 54 60 TRANSFER 134217728 0.0
NODE 55 61 TRANSFER 134217728 0.0
NODE 56 62 TRANSFER 134217728 0.0
NODE 46 57,58 COMPUTATION 90579346353 0.08
NODE 57 61 TRANSFER 209715200 0.0
NODE 58 64 TRANSFER 209715200 0.0
NODE 47 137 COMPUTATION 497459396 0.04
NODE 59 65,66,67 COMPUTATION 18358087528 0.17
NODE 65 75 TRANSFER 536870912 0.0
NODE 66 78 TRANSFER 536870912 0.0
NODE 67 81 TRANSFER 536870912 0.0
NODE 60 68 COMPUTATION 4113574046 0.02
NODE 68 76 TRANSFER 134217728 0.0
NODE 61 69 COMPUTATION 614959849 0.02
NODE 69 79 TRANSFER 33554432 0.0
NODE 62 70 COMPUTATION 183179127188 0.19
NODE 70 75 TRANSFER 209715200 0.0
NODE 63 71 COMPUTATION 231928233984 0.03
NODE 71 80 TRANSFER 301989888 0.0
NODE 64 72,73,74 COMPUTATION 36236864722 0.11
NODE 72 77 TRANSFER 838860800 0.0
NODE 73 78 TRANSFER 838860800 0.0
NODE 74 80 TRANSFER 838860800 0.0
NODE 75 82,83,84,85,86 COMPUTATION 687114134482 0.07
NODE 82 99 TRANSFER 679477248 0.0
NODE 83 100 TRANSFER 679477248 0.0
NODE 84 102 TRANSFER 679477248 0.0
NODE 85 103 TRANSFER 679477248 0.0
NODE 86 104 TRANSFER 679477248 0.0
NODE 76 87,88 COMPUTATION 368293445632 0.19
NODE 87 100 TRANSFER 411041792 0.0
NODE 88 103 TRANSFER 411041792 0.0
NODE 77 89,90 COMPUTATION 31569597565 0.13
NODE 89 99 TRANSFER 33554432 0.0
NODE 90 101 TRANSFER 33554432 0.0
NODE 78 91,92 COMPUTATION 231928233984 0.04
NODE 91 104 TRANSFER 301989888 0.0
NODE 92 105 TRANSFER 301989888 0.0
NODE 79 93 COMPUTATION 416187394822 0.13
NODE 93 101 TRANSFER 679477248 0.0
NODE 80 94,95 COMPUTATION 782757789696 0.13
NODE 94 101 TRANSFER 679477248 0.0
NODE 95 104 TRANSFER 679477248 0.0
NODE 81 96,97,98 COMPUTATION 782757789696 0.18
NODE 96 99 TRANSFER 679477248 0.0
NODE 97 100 TRANSFER 679477248 0.0
NODE 98 102 TRANSFER 679477248 0.0
NODE 99 106,107 COMPUTATION 1598050407 0.20
NODE 106 120 TRANSFER 33554432 0.0
NODE 107 122 TRANSFER 33554432 0.0
