// DAG automatically generated by daggen at Wed Nov 28 04:50:01 2018
// ./daggen -n 25 -o dag.txt 
NODE_COUNT 60
NODE 0 1,2,3 ROOT 0.0 0.0
NODE 1 4 COMPUTATION 1079069005 0.07
NODE 4 8 TRANSFER 33554432 0.0
NODE 2 5,6 COMPUTATION 43222748303 0.11
NODE 5 8 TRANSFER 838860800 0.0
NODE 6 9 TRANSFER 838860800 0.0
NODE 3 7 COMPUTATION 158857797864 0.16
NODE 7 10 TRANSFER 134217728 0.0
NODE 8 11,12 COMPUTATION 782757789696 0.15
NODE 11 19 TRANSFER 679477248 0.0
NODE 12 20 TRANSFER 679477248 0.0
NODE 9 13,14,15 COMPUTATION 231928233984 0.17
NODE 13 18 TRANSFER 301989888 0.0
NODE 14 19 TRANSFER 301989888 0.0
NODE 15 21 TRANSFER 301989888 0.0
NODE 10 16,17 COMPUTATION 847025034996 0.19
NODE 16 20 TRANSFER 679477248 0.0
NODE 17 21 TRANSFER 679477248 0.0
NODE 18 22,23 COMPUTATION 231928233984 0.01
NODE 22 28 TRANSFER 301989888 0.0
NODE 23 29 TRANSFER 301989888 0.0
NODE 19 24 COMPUTATION 17727344716 0.15
NODE 24 29 TRANSFER 838860800 0.0
NODE 20 25 COMPUTATION 11594532223 0.08
NODE 25 28 TRANSFER 679477248 0.0
NODE 21 26 COMPUTATION 549755813888 0.10
NODE 26 27 TRANSFER 536870912 0.0
NODE 27 30 COMPUTATION 93511707768 0.02
NODE 30 38 TRANSFER 134217728 0.0
NODE 28 31,32,33 COMPUTATION 14229045970 0.18
NODE 31 36 TRANSFER 301989888 0.0
NODE 32 38 TRANSFER 301989888 0.0
NODE 33 39 TRANSFER 301989888 0.0
NODE 29 34,35 COMPUTATION 23292326428 0.02
NODE 34 36 TRANSFER 838860800 0.0
NODE 35 37 TRANSFER 838860800 0.0
NODE 36 40,41 COMPUTATION 42565971795 0.07
NODE 40 45 TRANSFER 75497472 0.0
NODE 41 47 TRANSFER 75497472 0.0
NODE 37 42 COMPUTATION 24858705484 0.16
NODE 42 46 TRANSFER 536870912 0.0
NODE 38 43,44 COMPUTATION 33344403369 0.02
NODE 43 45 TRANSFER 75497472 0.0
NODE 44 47 TRANSFER 75497472 0.0
NODE 39 59 COMPUTATION 196932053454 0.00
NODE 45 48,49 COMPUTATION 1579234484 0.19
NODE 48 51 TRANSFER 33554432 0.0
NODE 49 53 TRANSFER 33554432 0.0
NODE 46 59 COMPUTATION 549755813888 0.17
NODE 47 50 COMPUTATION 299547523 0.17
NODE 50 52 TRANSFER 33554432 0.0
NODE 51 54,55 COMPUTATION 186784841785 0.14
NODE 54 57 TRANSFER 301989888 0.0
NODE 55 58 TRANSFER 301989888 0.0
NODE 52 56 COMPUTATION 922234369409 0.06
NODE 56 57 TRANSFER 679477248 0.0
NODE 53 59 COMPUTATION 134217728000 0.07
NODE 57 59 COMPUTATION 231928233984 0.14
NODE 58 59 COMPUTATION 7920842158 0.12
NODE 59 - END 0.0 0.0
